Sector,Path,XLSXLinks,Sector_abv,Nombre,Nombre_abv,Code
sector-externo,sector-externo/balanza-bienes-categoria,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Balanza%20de%20Bienes%20por%20Categor%C3%ADa.xlsx'],ET00,Balanza de Bienes por Categoría,BALBCAT,ET00BALBCAT
sector-externo,sector-externo/exportaciones-fob-principales-productos-mercancias-generales,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Exportaciones%20FOB%20de%20Principales%20Productos%20de%20Mercnac%C3%ADas%20Generales.xlsx'],ET00,Exportaciones FOB de Principales Productos de Mercnacías Generales,EXPPMG,ET00EXPPMG
sector-externo,sector-externo/importaciones-combustibles,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Importaciones%20de%20Combustibles%20por%20Tipo%20de%20Combustible.xlsx'],ET00,Importaciones de Combustibles por Tipo de Combustible,IMPCOM,ET00IMPCOM
sector-externo,sector-externo/exportaciones-importaciones-bienes-para-transformacion,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Exportaciones%20e%20Importaciones%20de%20Bienes%20para%20Transformaci%C3%B3n.xlsx'],ET00,Exportaciones e Importaciones de Bienes para Transformación,BTRF,ET00BTRF
sector-externo,sector-externo/exportaciones-fob-bienes-para-transformacion-categoria,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Exportaciones%20FOB%20de%20Bienes%20para%20Tranformaci%C3%B3n.xlsx'],ET00,Exportaciones FOB de Bienes para Tranformación,EXPBTRF,ET00EXPBTRF
sector-externo,sector-externo/importaciones-cif-bienes-para-transformacion-por-categoria,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Importaciones%20CIF%20de%20Bienes%20Para%20Transformaci%C3%B3n%20por%20categoria.xlsx'],ET00,Importaciones CIF de Bienes Para Transformación por categoria,IMPBTRF,ET00IMPBTRF
sector-externo,sector-externo/balanza-servicios,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Balanza%20de%20Servicios.xlsx'],ET00,Balanza de Servicios,BALSER,ET00BALSER
sector-externo,sector-externo/ingresos-egresos-servicios-categoria,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Ingresos%20y%20Egresos%20de%20Servicios%20por%20Categoria.xlsx'],ET00,Ingresos y Egresos de Servicios por Categoria,SERCAT,ET00SERCAT
sector-externo,sector-externo/remesas-familiares-corrientes,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Remesas%20Familiares%20Corrientes.xlsx'],ET00,Remesas Familiares Corrientes,RFCOR,ET00RFCOR
sector-externo,sector-externo/flujo-neto-inversion-extranjera-actividad-economica,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Flujo%20Neto%20de%20Inversi%C3%B3n%20Extranjera%20hacia%20Honduras%20por%20Actividad%20Econ%C3%B3mica.xlsx'],ET00,Flujo Neto de Inversión Extranjera hacia Honduras por Actividad Económica,IVEXJAE,ET00IVEXJAE
sector-externo,sector-externo/flujo-neto-de-inversion-extranjera-region,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Flujo%20Neto%20de%20Inversi%C3%B3n%20Extranjera%20hacia%20Honduras%20por%20Regi%C3%B3n%20Geogr%C3%A1fica.xlsx'],ET00,Flujo Neto de Inversión Extranjera hacia Honduras por Región Geográfica,IVEXJREG,ET00IVEXJREG
sector-externo,sector-externo/flujo-neto-ied-region-reporte-progresivo,[],ET00, ,,ET00
sector-externo,sector-externo/ied-componente,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Flujo%20Neto%20de%20Inversi%C3%B3n%20Extrajera%20Directa%20hacia%20Honduras%20por%20Componente.xlsx'],ET00,Flujo Neto de Inversión Extrajera Directa hacia Honduras por Componente,IVDR,ET00IVDR
sector-externo,sector-externo/pii-categoria,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/PII%20Categor%C3%ADa.xlsx'],ET00,PII Categoría,PIICAT,ET00PIICAT
sector-externo,sector-externo/pii-componente,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/PII%20Componente.xlsx'],ET00,PII Componente,PII,ET00PII
sector-externo,sector-externo/paf-externos-componente,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/PII%20Activos-Componentes.xlsx'],ET00,PII Activos-Componentes,PIIA,ET00PIIA
