Fecha;"Tipo de Cambio Promedio Ponderado Negociaciones Diarias en la Subasta de Divisas
";Valor;Sector;Path;XLSXLinks;Sector_abv;Nombre;Nombre_abv;Code
2000-02-01;TCPP;14.5957;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
2000-02-02;TCPP;14.596;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
2000-02-03;TCPP;14.5962;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
2000-02-04;TCPP;14.5963;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
2000-02-07;TCPP;14.5965;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
2000-02-08;TCPP;14.6159;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
2000-02-09;TCPP;14.616;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
2000-02-10;TCPP;14.6163;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
2000-02-11;TCPP;14.6164;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
2000-02-14;TCPP;14.6166;estadisticas-cambiarias;estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas;['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'];EC00;TCPP Negociaciones Diarias;ND;EC00ND
